image,link,price,titile
https://www.village-bd.com/uploads/product/mini_list/Gigabyte GeForce® GTX 1050 Ti OC 4G-1.jpg,https://www.village-bd.com/gigabyte-gtx-1050-ti-oc-4gb-ddr5-graphics-card,"৳ 17,500",Gigabyte GTX 1050 Ti OC 4GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/sapphire r7 240 1gb ddr5 2-500x500.jpg,https://www.village-bd.com/sapphire-r7-240-1gb-ddr5-graphics-card,"৳ 5,500",Sapphire R7 240 1GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-nvidia-geforce-gt-1030-oc-2gb-ddr5-graphics-card-1563968296.jpg,https://www.village-bd.com/gigabyte-nvidia-geforce-gt-1030-oc-2gb-ddr5-graphics-card,"৳ 8,400",Gigabyte NVIDIA GeForce GT 1030 OC 2GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-rtx-2070-aorus-xtreme-8gb-gddr6-graphics-card-1564049750.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2070-aorus-xtreme-8gb-gddr6-graphics-card,"৳ 65,000",Gigabyte GeForce RTX 2070 AORUS XTREME 8GB GDDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/Zotac GeForce GT 710 2GB A.jpg,https://www.village-bd.com/zotac-geforce-gt-710-2gb-ddr3-graphics-card,"৳ 4,350",ZOTAC GeForce GT 710 2GB DDR3 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/GV-RX570AORUS-4GB.jpg,https://www.village-bd.com/gigabyte-amd-radeon-rx570-aorus-4gb-ddr5-graphics-card,"৳ 28,800",Gigabyte AMD Radeon RX570 Aorus 4GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/ZOTAC GeForce GT 730 LP 2GB 902-1-500x500.jpg,https://www.village-bd.com/zotac-geforce-gt-730-2gb-ddr5-graphics-card,"৳ 5,800",ZOTAC GeForce GT 730 2GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/z1-500x500.jpg,https://www.village-bd.com/zotac-geforce-gt-1030-2gb-ddr5-graphics-card,"৳ 8,200",ZOTAC GeForce GT 1030 2GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/sapphire-nitro-radeon-rx-570-8g-gddr5-graphics-card-1562144398.jpg,https://www.village-bd.com/sapphire-nitro-radeon-rx-570-8gb-gddr5-graphics-card,"৳ 19,000",SAPPHIRE NITRO+ RADEON RX 570 8GB GDDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/PH-GTX1050 4gb.jpg,https://www.village-bd.com/asus-ph-gtx1050ti-4g-4gb-ddr-5-graphics-card,"৳ 16,950",ASUS PH-GTX1050TI-4G 4GB DDR-5 Graphics Card
